Day,Mean,Median,Std,Variance,Minimum,Maximum
296,0.7670039,0.0,2.7657619,7.6494384,0.0,43.960255
297,0.969786,0.0,4.1164775,16.945389,0.0,60.640774
298,0.42905477,0.0,2.0870366,4.355722,0.0,37.43345
299,0.36596572,0.0,1.9656075,3.863613,0.0,38.6
300,0.44560272,0.0,3.4011803,11.568027,0.0,145.0
301,0.6676921,0.0,4.3279486,18.73114,0.0,90.18051
302,0.1718974,0.0,1.2717084,1.6172421,0.0,32.497375
303,1.2113098,0.0,6.641721,44.112457,0.0,84.71301
304,2.1637237,0.0,11.313281,127.99033,0.0,291.6544
305,0.80070853,0.0,5.32795,28.387049,0.0,88.0
306,0.48641145,0.0,3.9143922,15.322466,0.0,102.742455
307,0.70161396,0.0,5.8260765,33.943165,0.0,149.33362
308,0.5544908,0.0,5.5013585,30.264946,0.0,136.45668
309,1.0947907,0.0,6.5056443,42.32341,0.0,112.12098
310,1.2962991,0.0,6.9460683,48.247868,0.0,134.89839
311,0.757429,0.0,3.8354576,14.710734,0.0,50.16249
312,0.5648774,0.0,3.3419073,11.1683445,0.0,77.88823
313,0.39236128,0.0,3.765264,14.177214,0.0,87.849174
314,0.047021605,0.0,0.74315566,0.5522803,0.0,23.902798
315,0.20873302,0.0,2.9561732,8.738959,0.0,98.995926
316,0.028203221,0.0,0.6623294,0.43868023,0.0,31.546322
317,0.1557591,0.0,2.371361,5.623353,0.0,59.869694
318,0.24074255,0.0,3.2586832,10.619016,0.0,84.897125
319,0.52850413,0.0,2.4454632,5.98029,0.0,56.293865
320,1.3583,0.0,7.124794,50.762688,0.0,161.35048
321,0.8097515,0.0,3.055828,9.338085,0.0,57.196117
322,0.6661859,0.0,3.160352,9.987824,0.0,58.898308
323,0.57838666,0.0,2.877123,8.277837,0.0,121.4
324,0.5497883,0.0,3.0945334,9.576138,0.0,102.6
325,0.36487007,0.0,2.8458111,8.098641,0.0,67.048874
326,0.2500198,0.0,1.6993521,2.8877978,0.0,47.83377
327,0.41271544,0.0,2.5207071,6.3539643,0.0,39.119564
328,0.05745818,0.0,0.63027835,0.39725077,0.0,17.468391
329,0.004235226,0.0,0.098189086,0.009641097,0.0,3.826435
330,0.0561716,0.0,0.859603,0.7389173,0.0,27.433872
331,0.6218516,0.0,4.5299087,20.520071,0.0,91.51223
332,0.742109,0.0,3.284021,10.784793,0.0,48.780434
333,0.15313281,0.0,1.6375803,2.6816692,0.0,45.770794
334,0.65073043,0.0,4.4224734,19.558273,0.0,141.95204
335,2.0209389,0.0,11.812132,139.52646,0.0,271.34317
336,1.6817731,0.0,10.469692,109.61446,0.0,189.92613
337,0.39845288,0.0,4.1345525,17.094524,0.0,138.89452
338,0.03120016,0.0,0.48973894,0.23984423,0.0,17.600904
339,0.1571096,0.0,1.2974886,1.6834764,0.0,28.248533
340,0.7914174,0.0,4.8123455,23.15867,0.0,97.85636
341,0.24118276,0.0,1.6003649,2.561168,0.0,43.814705
342,0.16552573,0.0,1.921424,3.6918705,0.0,65.8491
343,0.67137885,0.0,5.207024,27.113102,0.0,160.05983
344,1.1348748,0.0,6.3399553,40.195034,0.0,81.93387
345,0.993269,0.0,4.6952887,22.045736,0.0,88.0
346,2.9098687,0.0,9.337398,87.187,0.0,106.55903
347,0.95621395,0.0,3.3436122,11.179743,0.0,49.78738
348,0.3943082,0.0,1.9601345,3.842127,0.0,48.70173
349,0.022120722,0.0,0.32744506,0.10722026,0.0,20.0
350,0.05722612,0.0,0.82347775,0.6781156,0.0,25.632475
351,0.00021332473,0.0,0.012462647,0.00015531757,0.0,0.8539262
352,0.007048984,0.0,0.16429971,0.026994396,0.0,6.8787084
353,0.0,0.0,0.0,0.0,0.0,0.0
354,0.17526668,0.0,1.5190539,2.3075247,0.0,58.156746
355,0.15848666,0.0,1.0326223,1.0663089,0.0,14.099627
356,0.16549295,0.0,0.9671609,0.9354001,0.0,20.38921
357,0.003835668,0.0,0.092471555,0.0085509885,0.0,5.415569
358,3.3685406e-05,0.0,0.0023730884,5.6315484e-06,0.0,0.16721436
359,0.009609763,0.0,0.08788625,0.0077239936,0.0,1.0
360,0.01623389,0.0,0.61161786,0.3740764,0.0,27.357733
361,0.0,0.0,0.0,0.0,0.0,0.0
362,0.003688347,0.0,0.035002112,0.0012251479,0.0,0.40000004
363,0.0,0.0,0.0,0.0,0.0,0.0
364,0.0016906788,0.0,0.039358478,0.0015490898,0.0,1.3577746
365,0.0,0.0,0.0,0.0,0.0,0.0
